Mes,Código Material,Venta Neta Kilos
2020-03,1030871,24.0
2020-03,1031806,144.0
2020-03,1032665,0.0
2020-03,1032673,0.0
2020-03,1041317,437.5
2020-03,1041779,110.0
2020-03,1041788,0.0
2020-03,3001601,27000.0
2020-03,3001603,7775.0
2020-03,3002507,2500.0
2020-03,3014380,1200.0
2020-03,3017624,9000.0
2020-03,3019452,25701.0
2020-03,1003865,0.0
2020-03,1003934,0.0
2020-03,1004126,0.0
2020-03,1004132,0.0
2020-03,1004134,0.0
2020-03,1004146,0.0
2020-03,1004147,0.0
2020-03,1004158,0.0
2020-03,1004159,0.0
2020-03,1007308,0.0
2020-03,1012721,0.0
2020-03,1015577,0.0
2020-03,1015881,2500.0
2020-03,1018660,0.0
2020-03,1018661,0.0
2020-03,1018662,0.0
2020-03,1019983,0.0
2020-03,1030870,48.0
2020-04,1003866,40.0
2020-04,1003872,200.0
2020-04,1003874,0.0
2020-04,1003875,662.5
2020-04,1003883,40.0
2020-04,1003930,0.0
2020-04,1003934,0.0
2020-04,1004132,0.0
2020-04,1004134,60.0
2020-04,1004146,0.0
2020-04,1004147,0.0
2020-04,1004158,0.0
2020-04,1004159,2080.0
2020-04,1007307,20.0
2020-04,1007308,48.0
2020-04,1007309,0.0
2020-04,1007310,0.0
2020-04,1008505,720.0
2020-04,1010520,24.0
2020-04,1010976,20.0
2020-04,1012304,540.0
2020-04,1015577,0.0
2020-04,1015578,20.0
2020-04,1018434,1300.0
2020-04,1018662,0.0
2020-04,1025298,20.0
2020-04,1030868,17952.0
2020-04,1030869,1248.0
2020-04,1030870,1656.0
2020-04,1030871,72.0
2020-04,1031806,96.0
2020-04,1032664,0.0
2020-04,1041317,812.5
2020-04,1041779,575.0
2020-04,3001601,9000.0
2020-04,3001603,600.0
2020-04,3001605,140.0
2020-04,3011491,5000.0
2020-04,3014381,1900.0
2020-04,3017624,5600.0
2020-04,3021522,1660.0
2020-04,1003863,180.0
2020-04,1003865,0.0
2020-04,1003872,100.0
2020-04,1003874,0.0
2020-04,1003875,1275.0
2020-04,1003883,0.0
2020-04,1003934,0.0
2020-04,1004146,0.0
2020-04,1004147,0.0
2020-04,1004158,0.0
2020-04,1004159,2000.0
2020-04,1006777,625.0
2020-04,1007307,0.0
2020-04,1011721,625.0
2020-04,1012304,20.0
2020-04,1015574,0.0
2020-04,1018434,780.0
2020-04,1018660,0.0
2020-04,1018661,0.0
2020-04,1018662,0.0
2020-04,1025298,0.0
2020-04,1025986,0.0
2020-04,1030868,1008.0
2020-04,1030869,3600.0
2020-04,1030871,336.0
2020-04,1031806,48.0
2020-04,1041807,0.0
2020-04,3014380,500.0
2020-04,3017353,1600.0
2020-04,3017624,1000.0
2020-04,3019452,6021.0
2020-04,1003831,5.0
2020-04,1003856,0.0
2020-04,1003863,160.0
2020-04,1003865,5.0
2020-04,1003866,20.0
2020-04,1003870,0.0
2020-04,1003872,500.0
2020-04,1003874,0.0
2020-04,1003875,12.5
2020-04,1003915,0.0
2020-04,1003916,24.0
